NtAcceptConnectPort,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
NtAccessCheck,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001
NtAccessCheckAndAuditAlarm,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002
NtAccessCheckByType,,,,,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003
NtAccessCheckByTypeAndAuditAlarm,,,,,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004
NtAccessCheckByTypeResultList,,,,,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005
NtAccessCheckByTypeResultListAndAuditAlarm,,,,,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006
NtAccessCheckByTypeResultListAndAuditAlarmByHandle,,,,,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007
NtAddAtom,0x0003,0x0003,0x0003,0x0003,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008
NtAddBootEntry,,,,,,,,,,0x0009,0x0009,0x0009,0x0009,0x0009,0x0009
NtAddDriverEntry,,,,,,,,,,,,,0x000a,0x000a,0x000a
NtAdjustGroupsToken,0x0004,0x0004,0x0004,0x0004,0x0009,0x0009,0x0009,0x0009,0x0009,0x000a,0x000a,0x000a,0x000b,0x000b,0x000b
NtAdjustPrivilegesToken,0x0005,0x0005,0x0005,0x0005,0x000a,0x000a,0x000a,0x000a,0x000a,0x000b,0x000b,0x000b,0x000c,0x000c,0x000c
NtAlertResumeThread,0x0006,0x0006,0x0006,0x0006,0x000b,0x000b,0x000b,0x000b,0x000b,0x000c,0x000c,0x000c,0x000d,0x000d,0x000d
NtAlertThread,0x0007,0x0007,0x0007,0x0007,0x000c,0x000c,0x000c,0x000c,0x000c,0x000d,0x000d,0x000d,0x000e,0x000e,0x000e
NtAllocateLocallyUniqueId,0x0008,0x0008,0x0008,0x0008,0x000d,0x000d,0x000d,0x000d,0x000d,0x000e,0x000e,0x000e,0x000f,0x000f,0x000f
NtAllocateUserPhysicalPages,,,,,0x000e,0x000e,0x000e,0x000e,0x000e,0x000f,0x000f,0x000f,0x0010,0x0010,0x0010
NtAllocateUuids,0x0009,0x0009,0x0009,0x0009,0x000f,0x000f,0x000f,0x000f,0x000f,0x0010,0x0010,0x0010,0x0011,0x0011,0x0011
NtAllocateVirtualMemory,0x000a,0x000a,0x000a,0x000a,0x0010,0x0010,0x0010,0x0010,0x0010,0x0011,0x0011,0x0011,0x0012,0x0012,0x0012
NtAlpcAcceptConnectPort,,,,,,,,,,,,,,,0x0013
NtAlpcCancelMessage,,,,,,,,,,,,,,,0x0014
NtAlpcConnectPort,,,,,,,,,,,,,,,0x0015
NtAlpcCreatePort,,,,,,,,,,,,,,,0x0016
NtAlpcCreatePortSection,,,,,,,,,,,,,,,0x0017
NtAlpcCreateResourceReserve,,,,,,,,,,,,,,,0x0018
NtAlpcCreateSectionView,,,,,,,,,,,,,,,0x0019
NtAlpcCreateSecurityContext,,,,,,,,,,,,,,,0x001a
NtAlpcDeletePortSection,,,,,,,,,,,,,,,0x001b
NtAlpcDeleteResourceReserve,,,,,,,,,,,,,,,0x001c
NtAlpcDeleteSectionView,,,,,,,,,,,,,,,0x001d
NtAlpcDeleteSecurityContext,,,,,,,,,,,,,,,0x001e
NtAlpcDisconnectPort,,,,,,,,,,,,,,,0x001f
NtAlpcImpersonateClientOfPort,,,,,,,,,,,,,,,0x0020
NtAlpcOpenSenderProcess,,,,,,,,,,,,,,,0x0021
NtAlpcOpenSenderThread,,,,,,,,,,,,,,,0x0022
NtAlpcQueryInformation,,,,,,,,,,,,,,,0x0023
NtAlpcQueryInformationMessage,,,,,,,,,,,,,,,0x0024
NtAlpcSendWaitReceivePort,,,,,,,,,,,,,,,0x0025
NtAlpcSetInformation,,,,,,,,,,,,,,,0x0026
NtApphelpCacheControl,,,,,,,,,,,,,0x0013,0x0013,0x0027
NtAreMappedFilesTheSame,,,,,0x0011,0x0011,0x0011,0x0011,0x0011,0x0012,0x0012,0x0012,0x0014,0x0014,0x0028
NtAssignProcessToJobObject,,,,,0x0012,0x0012,0x0012,0x0012,0x0012,0x0013,0x0013,0x0013,0x0015,0x0015,0x0029
NtCallbackReturn,0x000b,0x000b,0x000b,0x000b,0x0013,0x0013,0x0013,0x0013,0x0013,0x0014,0x0014,0x0014,0x0016,0x0016,0x002a
NtCancelDeviceWakeupRequest,,,,,0x0016,0x0016,0x0016,0x0016,0x0016,0x0015,0x0015,0x0015,0x0017,0x0017,0x002b
NtCancelIoFile,0x000c,0x000c,0x000c,0x000c,0x0014,0x0014,0x0014,0x0014,0x0014,0x0016,0x0016,0x0016,0x0018,0x0018,0x002c
NtCancelIoFileEx,,,,,,,,,,,,,,,0x0172
NtCancelSynchronousIoFile,,,,,,,,,,,,,,,0x0173
NtCancelTimer,0x000d,0x000d,0x000d,0x000d,0x0015,0x0015,0x0015,0x0015,0x0015,0x0017,0x0017,0x0017,0x0019,0x0019,0x002d
NtClearAllSavepointsTransaction,,,,,,,,,,,,,,,0x011b
NtClearEvent,0x000e,0x000e,0x000e,0x000e,0x0017,0x0017,0x0017,0x0017,0x0017,0x0018,0x0018,0x0018,0x001a,0x001a,0x002e
NtClearMUILicenseInfo,,,,,,,,,,,,,,,0x0187
NtClearSavepointTransaction,,,,,,,,,,,,,,,0x011a
NtClose,0x000f,0x000f,0x000f,0x000f,0x0018,0x0018,0x0018,0x0018,0x0018,0x0019,0x0019,0x0019,0x001b,0x001b,0x002f
NtCloseObjectAuditAlarm,0x0010,0x0010,0x0010,0x0010,0x0019,0x0019,0x0019,0x0019,0x0019,0x001a,0x001a,0x001a,0x001c,0x001c,0x0030
NtCommitComplete,,,,,,,,,,,,,,,0x005d
NtCommitEnlistment,,,,,,,,,,,,,,,0x0055
NtCommitTransaction,,,,,,,,,,,,,,,0x0059
NtCompactKeys,,,,,,,,,,0x001b,0x001b,0x001b,0x001d,0x001d,0x0031
NtCompareTokens,,,,,,,,,,0x001c,0x001c,0x001c,0x001e,0x001e,0x0032
NtCompleteConnectPort,0x0011,0x0011,0x0011,0x0011,0x001a,0x001a,0x001a,0x001a,0x001a,0x001d,0x001d,0x001d,0x001f,0x001f,0x0033
NtCompressKey,,,,,,,,,,0x001e,0x001e,0x001e,0x0020,0x0020,0x0034
NtConnectPort,0x0012,0x0012,0x0012,0x0012,0x001b,0x001b,0x001b,0x001b,0x001b,0x001f,0x001f,0x001f,0x0021,0x0021,0x0035
NtContinue,0x0013,0x0013,0x0013,0x0013,0x001c,0x001c,0x001c,0x001c,0x001c,0x0020,0x0020,0x0020,0x0022,0x0022,0x0036
NtCreateChannel,0x00cd,0x00cc,0x00cc,0x00cc,0x00f1,0x00f1,0x00f1,0x00f1,0x00f1,,,,,,
NtCreateDebugObject,,,,,,,,,,0x0021,0x0021,0x0021,0x0023,0x0023,0x0037
NtCreateDirectoryObject,0x0014,0x0014,0x0014,0x0014,0x001d,0x001d,0x001d,0x001d,0x001d,0x0022,0x0022,0x0022,0x0024,0x0024,0x0038
NtCreateEnlistment,,,,,,,,,,,,,,,0x006d
NtCreateEvent,0x0015,0x0015,0x0015,0x0015,0x001e,0x001e,0x001e,0x001e,0x001e,0x0023,0x0023,0x0023,0x0025,0x0025,0x0039
NtCreateEventPair,0x0016,0x0016,0x0016,0x0016,0x001f,0x001f,0x001f,0x001f,0x001f,0x0024,0x0024,0x0024,0x0026,0x0026,0x003a
NtCreateFile,0x0017,0x0017,0x0017,0x0017,0x0020,0x0020,0x0020,0x0020,0x0020,0x0025,0x0025,0x0025,0x0027,0x0027,0x003b
NtCreateIoCompletion,0x0018,0x0018,0x0018,0x0018,0x0021,0x0021,0x0021,0x0021,0x0021,0x0026,0x0026,0x0026,0x0028,0x0028,0x003c
NtCreateJobObject,,,,,0x0022,0x0022,0x0022,0x0022,0x0022,0x0027,0x0027,0x0027,0x0029,0x0029,0x003d
NtCreateJobSet,,,,,,,,,,0x0028,0x0028,0x0028,0x002a,0x002a,0x003e
NtCreateKey,0x0019,0x0019,0x0019,0x0019,0x0023,0x0023,0x0023,0x0023,0x0023,0x0029,0x0029,0x0029,0x002b,0x002b,0x003f
NtCreateKeyedEvent,,,,,,,,,,0x0117,0x0117,0x0117,0x0121,0x0121,0x0169
NtCreateMailslotFile,0x001a,0x001a,0x001a,0x001a,0x0024,0x0024,0x0024,0x0024,0x0024,0x002a,0x002a,0x002a,0x002c,0x002c,0x0040
NtCreateMutant,0x001b,0x001b,0x001b,0x001b,0x0025,0x0025,0x0025,0x0025,0x0025,0x002b,0x002b,0x002b,0x002d,0x002d,0x0041
NtCreateNamedPipeFile,0x001c,0x001c,0x001c,0x001c,0x0026,0x0026,0x0026,0x0026,0x0026,0x002c,0x002c,0x002c,0x002e,0x002e,0x0042
NtCreatePagingFile,0x001d,0x001d,0x001d,0x001d,0x0027,0x0027,0x0027,0x0027,0x0027,0x002d,0x002d,0x002d,0x002f,0x002f,0x0044
NtCreatePort,0x001e,0x001c,0x001e,0x001e,0x0028,0x0028,0x0028,0x0028,0x0028,0x002e,0x002e,0x002e,0x0030,0x0030,0x0045
NtCreatePrivateNamespace,,,,,,,,,,,,,,,0x0043
NtCreateProcess,0x001f,0x001f,0x001f,0x001f,0x0029,0x0029,0x0029,0x0029,0x0029,0x002f,0x002f,0x002f,0x0031,0x0031,0x0046
NtCreateProcessEx,,,,,,,,,,0x0030,0x0030,0x0030,0x0032,0x0032,0x0047
NtCreateProfile,0x0020,0x0020,0x0020,0x0020,0x002a,0x002a,0x002a,0x002a,0x002a,0x0031,0x0031,0x0031,0x0033,0x0033,0x0048
NtCreateResourceManager,,,,,,,,,,,,,,,0x0069
NtCreateSection,0x0021,0x0021,0x0021,0x0021,0x002b,0x002b,0x002b,0x002b,0x002b,0x0032,0x0032,0x0032,0x0034,0x0034,0x0049
NtCreateSemaphore,0x0022,0x0022,0x0022,0x0022,0x002c,0x002c,0x002c,0x002c,0x002c,0x0033,0x0033,0x0033,0x0035,0x0035,0x004a
NtCreateSymbolicLinkObject,0x0023,0x0023,0x0023,0x0023,0x002d,0x002d,0x002d,0x002d,0x002d,0x0034,0x0034,0x0034,0x0036,0x0036,0x004b
NtCreateThread,0x0024,0x0024,0x0024,0x0024,0x002e,0x002e,0x002e,0x002e,0x002e,0x0035,0x0035,0x0035,0x0037,0x0037,0x004c
NtCreateThreadEx,,,,,,,,,,,,,,,0x0181
NtCreateTimer,0x0025,0x0025,0x0025,0x0025,0x002f,0x002f,0x002f,0x002f,0x002f,0x0036,0x0036,0x0036,0x0038,0x0038,0x004d
NtCreateToken,0x0026,0x0026,0x0026,0x0026,0x0030,0x0030,0x0030,0x0030,0x0030,0x0037,0x0037,0x0037,0x0039,0x0039,0x004e
NtCreateTransaction,,,,,,,,,,,,,,,0x004f
NtCreateTransactionManager,,,,,,,,,,,,,,,0x0062
NtCreateWaitablePort,,,,,0x0031,0x0031,0x0031,0x0031,0x0031,0x0038,0x0038,0x0038,0x003a,0x003a,0x0072
NtCreateWinStation,,0x00d3,,,,,,,,,,,,,
NtCreateWorkerFactory,,,,,,,,,,,,,,,0x017a
NtDebugActiveProcess,,,,,,,,,,0x0039,0x0039,0x0039,0x003b,0x003b,0x0073
NtDebugContinue,,,,,,,,,,0x003a,0x003a,0x003a,0x003c,0x003c,0x0074
NtDelayExecution,0x0027,0x0027,0x0027,0x0027,0x0032,0x0032,0x0032,0x0032,0x0032,0x003b,0x003b,0x003b,0x003d,0x003d,0x0075
NtDeleteAtom,0x0028,0x0028,0x0028,0x0028,0x0033,0x0033,0x0033,0x0033,0x0033,0x003c,0x003c,0x003c,0x003e,0x003e,0x0076
NtDeleteBootEntry,,,,,,,,,,0x003d,0x003d,0x003d,0x003f,0x003f,0x0077
NtDeleteDriverEntry,,,,,,,,,,,,,0x0040,0x0040,0x0078
NtDeleteFile,0x0029,0x0029,0x0029,0x0029,0x0034,0x0034,0x0034,0x0034,0x0034,0x003e,0x003e,0x003e,0x0041,0x0041,0x0079
NtDeleteKey,0x002a,0x002a,0x002a,0x002a,0x0035,0x0035,0x0035,0x0035,0x0035,0x003f,0x003f,0x003f,0x0042,0x0042,0x007a
NtDeleteObjectAuditAlarm,0x002b,0x002b,0x002b,0x002b,0x0036,0x0036,0x0036,0x0036,0x0036,0x0040,0x0040,0x0040,0x0043,0x0043,0x007c
NtDeletePrivateNamespace,,,,,,,,,,,,,,,0x007b
NtDeleteValueKey,0x002c,0x002c,0x002c,0x002c,0x0037,0x0037,0x0037,0x0037,0x0037,0x0041,0x0041,0x0041,0x0044,0x0044,0x007d
NtDeviceIoControlFile,0x002d,0x002d,0x002d,0x002d,0x0038,0x0038,0x0038,0x0038,0x0038,0x0042,0x0042,0x0042,0x0045,0x0045,0x007e
NtDisplayString,0x002e,0x002e,0x002e,0x002e,0x0039,0x0039,0x0039,0x0039,0x0039,0x0043,0x0043,0x0043,0x0046,0x0046,0x007f
NtDuplicateObject,0x002f,0x002f,0x002f,0x002f,0x003a,0x003a,0x003a,0x003a,0x003a,0x0044,0x0044,0x0044,0x0047,0x0047,0x0080
NtDuplicateToken,0x0030,0x0030,0x0030,0x0030,0x003b,0x003b,0x003b,0x003b,0x003b,0x0045,0x0045,0x0045,0x0048,0x0048,0x0081
NtEnumerateBootEntries,,,,,,,,,,0x0046,0x0046,0x0046,0x0049,0x0049,0x0082
NtEnumerateDriverEntries,,,,,,,,,,,,,0x004a,0x004a,0x0083
NtEnumerateKey,0x0031,0x0031,0x0031,0x0031,0x003c,0x003c,0x003c,0x003c,0x003c,0x0047,0x0047,0x0047,0x004b,0x004b,0x0084
NtEnumerateSystemEnvironmentValuesEx,,,,,,,,,,0x0048,0x0048,0x0048,0x004c,0x004c,0x0085
NtEnumerateValueKey,0x0032,0x0032,0x0032,0x0032,0x003d,0x003d,0x003d,0x003d,0x003d,0x0049,0x0049,0x0049,0x004d,0x004d,0x0086
NtExtendSection,0x0033,0x0033,0x0033,0x0033,0x003e,0x003e,0x003e,0x003e,0x003e,0x004a,0x004a,0x004a,0x004e,0x004e,0x0087
NtFilterToken,,,,,0x003f,0x003f,0x003f,0x003f,0x003f,0x004b,0x004b,0x004b,0x004f,0x004f,0x0088
NtFindAtom,0x0034,0x0034,0x0034,0x0034,0x0040,0x0040,0x0040,0x0040,0x0040,0x004c,0x004c,0x004c,0x0050,0x0050,0x0089
NtFlushBuffersFile,0x0035,0x0035,0x0035,0x0035,0x0041,0x0041,0x0041,0x0041,0x0041,0x004d,0x004d,0x004d,0x0051,0x0051,0x008a
NtFlushInstallUILanguage,,,,,,,,,,,,,,,0x0189
NtFlushInstructionCache,0x0036,0x0036,0x0036,0x0036,0x0042,0x0042,0x0042,0x0042,0x0042,0x004e,0x004e,0x004e,0x0052,0x0052,0x008b
NtFlushKey,0x0037,0x0037,0x0037,0x0037,0x0043,0x0043,0x0043,0x0043,0x0043,0x004f,0x004f,0x004f,0x0053,0x0053,0x008c
NtFlushProcessWriteBuffers,,,,,,,,,,,,,,,0x008d
NtFlushVirtualMemory,0x0038,0x0038,0x0038,0x0038,0x0044,0x0044,0x0044,0x0044,0x0044,0x0050,0x0050,0x0050,0x0054,0x0054,0x008e
NtFlushWriteBuffer,0x0039,0x0039,0x0039,0x0039,0x0045,0x0045,0x0045,0x0045,0x0045,0x0051,0x0051,0x0051,0x0055,0x0055,0x008f
NtFreeUserPhysicalPages,,,,,0x0046,0x0046,0x0046,0x0046,0x0046,0x0052,0x0052,0x0052,0x0056,0x0056,0x0090
NtFreeVirtualMemory,0x003a,0x003a,0x003a,0x003a,0x0047,0x0047,0x0047,0x0047,0x0047,0x0053,0x0053,0x0053,0x0057,0x0057,0x0091
NtFreezeRegistry,,,,,,,,,,,,,,,0x0092
NtFreezeTransactions,,,,,,,,,,,,,,,0x0093
NtFsControlFile,0x003b,0x003b,0x003b,0x003b,0x0048,0x0048,0x0048,0x0048,0x0048,0x0054,0x0054,0x0054,0x0058,0x0058,0x0094
NtGetContextThread,0x003c,0x003c,0x003c,0x003c,0x0049,0x0049,0x0049,0x0049,0x0049,0x0055,0x0055,0x0055,0x0059,0x0059,0x0095
NtGetCurrentProcessorNumber,,,,,,,,,,,,,0x0126,0x0126,0x016e
NtGetDevicePowerState,,,,,0x004a,0x004a,0x004a,0x004a,0x004a,0x0056,0x0056,0x0056,0x005a,0x005a,0x0096
NtGetMUILicenseInfo,,,,,,,,,,,,,,,0x0186
NtGetMUIRegistryInfo,,,,,,,,,,,,,,,0x018a
NtGetNextProcess,,,,,,,,,,,,,,,0x0170
NtGetNextThread,,,,,,,,,,,,,,,0x0171
NtGetNlsSectionPtr,,,,,,,,,,,,,,,0x0097
NtGetNotificationResourceManager,,,,,,,,,,,,,,,0x006b
NtGetPlugPlayEvent,0x003d,0x003d,0x003d,0x003d,0x004b,0x004b,0x004b,0x004b,0x004b,0x0057,0x0057,0x0057,0x005b,0x005b,0x0098
NtGetTickCount,0x003e,0x003e,0x003e,0x003e,0x004c,0x004c,0x004c,0x004c,0x004c,,,,,,
NtGetWriteWatch,,,,,0x004d,0x004d,0x004d,0x004d,0x004d,0x0058,0x0058,0x0058,0x005c,0x005c,0x0099
